label,wordsPerMinute,attention,browFurrow,browRaise,cheekRaise,chinRaise,dimpler,eyeClosure,eyeWiden,innerBrowRaise,jawDrop,lidTighten,lipCornerDepressor,lipPress,lipPucker,lipSuck,mouthOpen,noseWrinkle,smile,smirk,upperLipRaise,active_socialNetwork,active_shopping,active_entertainment,active_general,active_work,active_other,open_socialNetwork,open_shopping,open_entertainment,open_general,open_work
1,13,92.21664429,6.09E-05,0.420068145,0.001567513,0.672265768,89.30241394,3.89E-07,2.087318659,0.031249514,0.065463074,0.007119401,0.000791882,53.66485596,0.000126691,99.98838806,0.001038702,0.000209922,1.16E-05,0.070153281,2.17E-10,0,0,0,0,1,0,0,0,0,0,3
1,13,92.21664429,6.09E-05,0.420068145,0.001567513,0.672265768,89.30241394,3.89E-07,2.087318659,0.031249514,0.065463074,0.007119401,0.000791882,53.66485596,0.000126691,99.98838806,0.001038702,0.000209922,1.16E-05,0.070153281,2.17E-10,0,0,0,0,1,0,0,0,0,0,3
1,13,96.40080261,1.11E-05,1.581000566,8.40E-05,0.000703144,0.000176248,1.75E-08,0.168421686,0.051509723,0.223655015,0.001658834,0.010540222,0.003217386,2.029524565,0.045476004,0.224613354,0.00089782,2.05E-08,0.007963754,9.79E-10,0,0,0,0,1,0,0,0,0,0,3
1,13,96.02482605,4.43E-06,0.880530179,0.000274528,0.001078039,2.41E-05,2.15E-07,0.298949152,0.017406436,2.264770508,0.002340998,0.003011593,0.000201146,7.993002892,0.002535948,0.342794359,0.003076976,3.90E-09,0.006114316,3.98E-08,0,0,0,0,1,0,0,0,0,0,3
1,13,96.02482605,4.43E-06,0.880530179,0.000274528,0.001078039,2.41E-05,2.15E-07,0.298949152,0.017406436,2.264770508,0.002340998,0.003011593,0.000201146,7.993002892,0.002535948,0.342794359,0.003076976,3.90E-09,0.006114316,3.98E-08,0,0,0,0,1,0,0,0,0,0,3
1,13,98.06719208,3.87E-05,14.17243958,0.000172792,0.017720802,0.000381526,7.10E-09,0.03679198,1.327681661,1.089075446,0.001947993,0.471100122,0.152578205,9.251783371,0.001167136,1.714734316,0.002711341,6.60E-09,0.000360147,1.19E-05,0,0,0,0,1,0,0,0,0,0,3
1,13,98.06719208,3.87E-05,14.17243958,0.000172792,0.017720802,0.000381526,7.10E-09,0.03679198,1.327681661,1.089075446,0.001947993,0.471100122,0.152578205,9.251783371,0.001167136,1.714734316,0.002711341,6.60E-09,0.000360147,1.19E-05,0,0,0,0,1,0,0,0,0,0,3
1,13,95.84036255,1.65E-05,0.458225667,0.007248166,0.002167682,0.000919333,24.00492668,0.02106905,0.003393529,2.192871571,0.003899193,0.000722547,0.003156257,33.25478363,0.00126886,1.433136463,0.008746488,1.88E-08,0.000151011,2.02E-06,0,0,0,0,1,0,0,0,0,0,3
1,13,96.12975311,4.59E-06,1.182226419,0.000277802,0.000209595,0.000352301,2.09E-09,0.032152481,0.099406824,0.199290618,0.00187579,0.857502401,0.051741719,0.370050639,0.027488705,1.295258641,0.002328143,8.33E-09,0.001980205,9.55E-10,0,0,0,0,1,0,0,0,0,0,3
1,13,94.1402359,9.32E-06,0.467318654,0.000244349,0.000523699,0.006274346,3.36E-09,1.531091928,0.059749682,0.047608297,0.003515473,0.001558361,0.014174197,0.027778745,0.126330853,0.028266236,0.00071005,4.59E-08,0.00155615,1.00E-09,0,0,0,0,1,0,0,0,0,0,3
